Store,Date,IsHoliday,Temperature,Fuel_Price,CPI,Unemployment,Size,Weekly_Sales
26,2011-08-26,FALSE,61.1,3.796,136.2136129,7.767,152513,593115.51
34,2011-03-25,FALSE,53.11,3.48,128.6160645,10.398,158114,519134.07
21,2010-12-03,FALSE,50.43,2.708,211.265543,8.163,140167,612096.28
8,2010-09-17,FALSE,75.32,2.582,214.8785562,6.315,155078,517038.77
19,2012-05-18,FALSE,58.81,4.029,138.10658059999997,8.15,203819,668089.88
13,2012-03-16,FALSE,52.5,3.529,130.82619350000002,6.104,219622,1323552
19,2010-08-06,FALSE,74.2,2.942,132.6141935,8.099,203819,1080966.52
2,2010-12-24,FALSE,49.97,2.886,211.0646599,8.163,202307,2650304.02
32,2010-10-08,FALSE,61.81,2.745,190.7763218,9.137,203007,958120.1
45,2012-03-02,FALSE,41.55,3.816,190.1714927,8.424,118221,419651.54
45,2011-02-18,FALSE,40.7,3.245,183.9371353,8.549,118221,595766.09
44,2010-02-05,FALSE,31.53,2.6660000000000004,126.4420645,8.119,39910,198460.99
4,2011-02-11,TRUE,33.29,3.033,127.859129,6.51,205863,1881525.77
32,2010-05-07,FALSE,48.94,2.7710000000000004,189.5312483,8.963,203007,782704.6
6,2012-06-15,FALSE,82.1,3.393,223.36809330000003,5.964,202505,1055747.66
19,2010-10-29,FALSE,56.11,3.055,132.8708387,8.067,203819,934816.38
5,2011-11-18,FALSE,64.33,3.3080000000000003,218.793912,6.3,34875,219258.62
35,2010-07-09,FALSE,82.69,2.793,136.3962643,8.861,103681,970364.27
28,2012-10-05,FALSE,81.61,3.966,131.0756667,10.199,206302,729043.65
38,2011-08-26,FALSE,94.61,3.74,129.2832581,13.503,39690,210343.53
16,2011-07-22,FALSE,65.36,3.545,193.5120367,6.337999999999999,57197,366066.11
36,2010-06-04,FALSE,79.93,2.664,209.9398091,8.464,39910,379852.7
1,2010-04-16,FALSE,66.32,2.8080000000000003,210.4887,7.808,151315,1105515.29
19,2012-07-27,FALSE,74.43,3.82,138.2033871,8.193,203819,1061345.8800000001
27,2011-05-20,FALSE,60.22,4.202,138.587106,7.725,204184,1228283.21
22,2010-10-01,FALSE,69.31,2.717,136.6297571,8.572000000000001,119557,489122.27
16,2012-03-16,FALSE,38.02,3.486,197.0457208,6.162000000000001,57197,356850.48
6,2011-12-02,FALSE,51.18,3.172,220.2937686,6.551,202505,1392676.43
40,2010-04-02,FALSE,41.39,2.826,131.9019677,5.435,155083,734328.76
19,2011-02-11,TRUE,21.79,3.4160000000000004,133.260871,7.771,203819,787149.22
18,2010-10-15,FALSE,52.02,2.878,132.7633548,9.331,120653,840046.48
42,2012-05-04,FALSE,77.02,4.058,131.136,7.3820000000000014,39690,430576.64
33,2010-07-23,FALSE,97.04,3.112,126.1283548,9.495,39690,106029.56
27,2012-02-03,FALSE,42.52,3.796,141.01619240000005,8.009,204184,881287.5
36,2012-05-25,FALSE,78.94,3.636,220.4287124,6.989,39910,171517.09
13,2011-04-29,FALSE,43.85,3.683,128.9998667,7.193,219622,1482547.37
36,2010-11-26,TRUE,67.73,2.725,210.51527650000003,8.476,39910,226400.6
18,2011-07-15,FALSE,74.36,3.827,135.7837419,8.89,120653,632340.08
8,2012-03-23,FALSE,52.9,3.787,224.8399424,5.825,155078,491546.51
5,2012-09-14,FALSE,76.65,3.717,223.1734167,5.603,34875,206612.27
4,2010-10-22,FALSE,64.17,2.736,126.3815484,7.1270000000000024,205863,1162527.87
25,2010-02-12,TRUE,19.64,2.773,204.3857472,8.187000000000001,128107,288349.32
22,2010-08-20,FALSE,73.21,2.7960000000000003,136.52491819999997,8.433,119557,701177.05
2,2011-09-09,TRUE,77.97,3.5460000000000003,215.5148295,7.852,202307,1036196.6
10,2011-03-25,FALSE,62.53,3.716,128.6160645,8.744,126512,885239.19
20,2011-08-05,FALSE,77.8,3.842,208.719238,7.274,203742,1132679.47
2,2010-03-19,FALSE,54.52,2.72,210.8733316,8.324,202307,1470489
10,2010-08-06,FALSE,86.13,3.123,126.08545159999998,9.199,126512,1421283.91
25,2011-06-17,FALSE,63.58,3.842,208.1265604,7.287000000000001,128107,585392.4
41,2010-12-17,FALSE,31.51,2.778,191.0303376,7.507999999999999,196321,1233017.24
22,2011-09-16,FALSE,68.08,3.809,140.2735,8.023,119557,541991.16
13,2010-02-05,FALSE,31.53,2.6660000000000004,126.4420645,8.316,219622,1347002.58
28,2010-11-05,FALSE,65.49,3.129,126.4912903,14.313,206302,953523.81
30,2011-11-04,FALSE,56.01,3.332,217.4853605,7.441,42988,338684.39
